# Gun Gaym weapon/ammo placement overrides (stolen from TTT)
# For map: cs_italy
# Exported by: Snaps
setting:	replacespawns 0
gy_medkit	-1033.797607 -1947.856079 -151.680313	0.025 0.001 0.044
gy_medkit	-1362.255371 106.486443 8.380244	0.234 0.001 0.297
gy_medkit	76.846909 617.762817 -151.549438	-0.140 0.085 -0.159
gy_medkit	184.576691 94.513397 -151.546524	-0.131 0.093 -0.149
gy_medkit	910.613647 -575.720703 -79.108841	0.276 0.002 0.458
gy_medkit	1007.575806 764.735718 -191.601013	-0.607 0.102 -0.728
gy_medkit	-101.406921 2456.722656 -63.667850	0.045 0.001 0.067
gy_medkit	-391.076263 1866.641235 -119.667847	0.045 0.001 0.067
gy_medkit	-1371.385132 1530.622803 -87.059364	-0.182 0.164 -0.153
gy_medkit	-779.286316 1104.691040 -107.869591	-14.281 -0.356 -0.024
gy_playerspawn	951.861450 2199.236084 128.484375	-0.047 -0.000 0.047
gy_playerspawn	968.223267 1944.790161 128.534378	-0.063 -0.000 0.063
gy_playerspawn	598.659485 2210.787354 128.536743	-0.025 -0.000 0.025
gy_playerspawn	589.394104 2497.718262 128.523056	-0.031 -0.000 0.031
gy_playerspawn	938.490112 2370.604248 0.535364	-0.062 -0.000 0.062
gy_playerspawn	641.750183 2181.815674 0.523709	-0.073 -0.000 0.073
gy_playerspawn	-779.937378 1845.927612 0.549398	-0.178 0.109 -0.031
gy_playerspawn	-795.935120 1105.576172 0.536971	-0.062 -0.000 0.062
gy_playerspawn	-804.093201 626.901367 8.575071	0.015 0.098 0.094
gy_playerspawn	-582.542419 736.177490 8.567013	-0.120 -0.154 -0.015
gy_playerspawn	-331.227631 622.538757 8.507793	-0.037 -0.000 0.037
gy_playerspawn	-636.400757 369.479370 8.558181	0.081 0.088 0.032
gy_playerspawn	-555.819275 -136.084320 -31.488148	0.035 0.000 0.035
gy_playerspawn	-331.456024 -228.029205 -159.479019	-0.077 -0.000 0.077
gy_playerspawn	471.375244 -386.171356 -41.448647	-0.144 -0.016 0.224
gy_playerspawn	700.797424 -385.473969 -41.466667	-0.077 -0.020 0.109
gy_playerspawn	1048.795044 -768.663452 -87.475693	-0.016 -0.002 0.093
gy_playerspawn	975.813599 -102.225861 -151.455048	-0.054 -0.000 0.054
gy_playerspawn	943.081055 277.947693 -151.440735	-0.040 0.000 0.040
gy_playerspawn	426.736603 359.781281 -159.490509	-0.088 -0.000 0.088
gy_playerspawn	-15.883420 752.951111 -159.468048	-0.252 -0.014 -0.036
gy_playerspawn	-1423.637939 1229.652954 0.536971	-0.062 -0.000 0.062
gy_playerspawn	-1464.567017 204.690659 -159.462097	-0.061 -0.000 0.061
gy_playerspawn	-961.271179 -121.014053 -159.437805	0.037 0.000 0.037
gy_playerspawn	-997.433533 -1064.432129 -151.453415	-0.052 -0.000 0.052
gy_playerspawn	-339.227386 -1126.108276 -151.481430	-0.080 -0.000 0.080
gy_playerspawn	-1026.052979 1592.557983 -55.507240	0.043 0.000 0.043
gy_playerspawn	-1223.464355 1812.840698 -151.545334	-0.014 -0.000 0.014
gy_playerspawn	-1018.494446 2119.273193 -151.512451	-0.011 -0.000 0.011
gy_playerspawn	-374.711060 2090.100586 -151.495255	-0.009 -0.000 0.009
