# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_office
# Exported by: Shaps
setting:	replacespawns 0
gy_medkit	295.482880 -1444.893799 -174.839661	0.620 0.004 0.763
gy_medkit	2188.036621 -210.967789 -129.636444	0.070 -0.001 -0.093
gy_medkit	2192.722412 -118.055183 -129.528915	-0.119 0.033 -0.222
gy_medkit	1306.282349 35.196167 -129.545593	-0.128 0.092 -0.146
gy_medkit	89.542877 -516.779175 -159.584457	0.484 0.002 0.603
gy_medkit	742.060791 -216.305939 -127.648056	0.098 0.001 0.131
gy_medkit	-1758.308228 -1408.234619 -327.637024	0.142 0.001 0.185
gy_medkit	-699.364868 -1200.720459 -175.088104	-0.233 0.020 -0.371
gy_medkit	-832.879333 310.137268 -367.644470	0.111 0.001 0.147
gy_medkit	-490.785034 123.180946 -159.545135	-0.126 0.096 -0.144
gy_playerspawn	697.076965 -1463.869873 -279.470001	-0.068 -0.000 0.068
gy_playerspawn	1038.679932 -1178.698730 -270.988800	-0.028 0.000 -0.028
gy_playerspawn	1112.036621 -892.164734 -159.524994	-0.012 -0.000 0.012
gy_playerspawn	422.051758 -1288.181763 -279.445923	-0.045 -0.000 0.045
gy_playerspawn	936.375366 -659.556030 -159.501190	-0.010 -0.000 0.010
gy_playerspawn	1421.244751 -128.780533 -159.514175	-0.011 -0.000 0.011
gy_playerspawn	1357.087646 -588.756653 -159.523117	-0.012 -0.000 0.012
gy_playerspawn	1556.448120 -581.853271 -159.552078	-0.015 -0.000 0.015
gy_playerspawn	1913.966553 -503.546783 -159.498184	-0.010 -0.000 0.010
gy_playerspawn	1629.822266 -140.815567 -159.483185	-0.008 -0.000 0.008
gy_playerspawn	1874.752686 173.705566 -159.489700	-0.009 -0.000 0.009
gy_playerspawn	1466.843872 174.927933 -159.530777	-0.013 -0.000 0.013
gy_playerspawn	1183.425049 295.537628 -159.514175	-0.011 -0.000 0.011
gy_playerspawn	1501.770386 959.609741 -159.483185	-0.008 -0.000 0.008
gy_playerspawn	574.999146 965.312988 -159.428299	0.058 0.055 -0.032
gy_playerspawn	536.668579 393.621033 -159.500076	0.047 0.035 0.121
gy_playerspawn	93.465408 286.829346 -159.478088	-0.056 -0.014 -0.057
gy_playerspawn	4.776523 -777.516602 -174.803238	-0.015 -0.000 0.015
gy_playerspawn	-88.970726 -1093.605103 -223.461136	-0.060 -0.000 0.060
gy_playerspawn	-671.505310 -772.334900 -333.040253	0.827 0.099 0.146
gy_playerspawn	-966.323425 -792.142273 -329.287231	3.576 -0.180 -0.699
gy_playerspawn	-1210.414185 -558.252686 -327.277863	0.098 -0.055 0.437
gy_playerspawn	-1174.735962 -206.978226 -326.835510	-1.233 0.183 0.091
gy_playerspawn	-1573.185425 -865.619995 -239.451782	-0.051 -0.000 0.051
gy_playerspawn	-1656.393433 -111.352295 -239.473251	0.072 0.000 0.072
gy_playerspawn	-881.392517 -1191.101074 -239.460205	-0.059 -0.000 0.059
gy_playerspawn	-653.723999 -1070.954590 -239.475479	-0.074 -0.000 0.074
gy_playerspawn	-846.862915 -1393.880859 -327.464905	-0.063 -0.000 0.063
gy_playerspawn	-444.467896 667.262451 -159.510788	-0.011 -0.000 0.011
gy_playerspawn	-727.434082 620.244385 -159.528824	-0.013 -0.000 0.013
gy_playerspawn	-564.420227 576.087341 -159.483185	-0.008 -0.000 0.008
gy_playerspawn	-837.043579 -138.093384 -159.517670	-0.012 -0.000 0.012
gy_playerspawn	-374.444458 -185.371414 -159.479507	-0.008 -0.000 0.008
