# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_aztec
# Exported by: Shaps
setting:	replacespawns 0
gy_medkit	-309.954376 -1325.840088 -95.637856	0.145 0.001 0.175
gy_medkit	177.474792 -684.629456 -95.551575	0.768 0.005 0.939
gy_medkit	457.997711 -341.976501 -95.561493	0.681 0.004 0.832
gy_medkit	-671.303833 -1221.312134 -517.119690	16.358 1.208 5.635
gy_medkit	-1799.842163 1096.051392 -223.294189	8.596 0.156 0.080
gy_medkit	-3047.097412 -1108.769409 -219.411636	1.757 -0.007 1.363
gy_medkit	-163.395264 794.297913 -510.425018	6.261 -10.237 23.533
gy_medkit	2470.013184 1330.475464 -383.654938	0.076 0.001 0.104
gy_medkit	2953.311279 -481.808899 -191.617371	-0.640 0.135 -0.783
gy_medkit	855.157837 271.837219 -159.586807	0.472 -0.003 -0.572
gy_medkit	177.998413 394.459198 -95.534943	-0.002 -0.010 0.280
gy_medkit	-289.160767 708.331482 -207.553162	0.025 -0.015 0.020
gy_medkit	-397.055054 710.922974 -207.640549	-0.020 0.004 -0.023
gy_medkit	1803.579834 744.104065 -531.567261	-0.010 -0.000 -0.016
gy_medkit	-668.833984 140.997803 -517.822144	11.891 -3.191 -9.477
gy_playerspawn	459.893860 -1470.447021 -223.040253	-0.007 -0.273 -1.271
gy_playerspawn	269.533752 -1425.837524 -223.628586	0.749 0.083 0.437
gy_playerspawn	-66.445313 -1400.487671 -222.472900	0.752 -0.070 1.397
gy_playerspawn	-345.585632 -1472.240601 -228.423447	-3.545 1.201 -0.316
gy_playerspawn	-581.321045 -1498.237427 -222.692886	0.913 0.087 1.546
gy_playerspawn	-1183.015503 -1522.899658 -223.474365	-0.073 -0.000 0.073
gy_playerspawn	-999.077820 -1038.463013 -223.487778	-0.086 -0.000 0.086
gy_playerspawn	-1461.338135 -1229.147949 -223.482635	-0.081 -0.000 0.081
gy_playerspawn	-2015.823486 -1056.529419 -222.834061	0.970 0.013 0.960
gy_playerspawn	-1976.977905 -1227.586304 -223.471069	-0.069 -0.000 0.069
gy_playerspawn	-2984.407227 -1141.039551 -95.442284	0.016 0.000 0.016
gy_playerspawn	-2900.573242 -1092.179932 -95.519592	0.045 0.000 0.045
gy_playerspawn	-2564.241211 -760.537354 -95.441940	0.041 -0.000 -0.041
gy_playerspawn	-2378.758789 -962.167480 -95.448891	0.048 0.000 0.048
gy_playerspawn	-2557.730713 511.121124 -191.483536	0.035 0.000 0.035
gy_playerspawn	-2906.052734 -505.264923 -223.881256	0.572 -0.000 -0.112
gy_playerspawn	-2719.554199 -888.379883 -232.426941	1.428 0.241 -0.554
gy_playerspawn	-2733.143311 1152.184570 -207.496536	0.040 -0.000 -0.040
gy_playerspawn	-1166.562866 773.847961 -191.441956	-0.041 -0.000 0.041
gy_playerspawn	-1203.645630 379.641113 -191.451797	-0.051 -0.000 0.051
gy_playerspawn	335.920532 790.483704 -191.455856	-0.055 -0.000 0.054
gy_playerspawn	283.193970 351.341675 -175.471100	0.044 -0.001 0.126
gy_playerspawn	-1116.163208 -593.831604 -223.482635	-0.081 -0.000 0.081
gy_playerspawn	-1814.084717 -569.901917 -207.489090	-0.087 -0.000 0.087
gy_playerspawn	-1637.996338 -580.665466 -207.457550	-0.056 -0.000 0.056
gy_playerspawn	1106.484253 31.891500 -91.455528	0.022 -0.000 -0.022
