# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dust2
# Exported by: Shaps
setting:	replacespawns 0
gy_playerspawn	-478.414551 -112.522163 128.481949	0.014 -0.000 -0.014
gy_playerspawn	-479.042389 -171.373840 64.470764	0.015 -0.000 -0.015
gy_playerspawn	-684.663879 412.108856 6.368469	1.226 -0.065 0.669
gy_playerspawn	-423.527283 412.958374 5.909189	-0.565 -0.007 0.545
gy_playerspawn	-201.979004 827.553772 0.512232	-0.086 -0.000 0.086
gy_playerspawn	-186.729980 1219.818237 0.551960	-0.047 -0.000 0.047
gy_playerspawn	436.729919 1402.956787 96.515259	0.036 -0.000 -0.036
gy_playerspawn	456.494965 1987.855957 152.842422	-0.075 0.000 -0.075
gy_playerspawn	380.105591 2647.958984 96.545815	-0.053 -0.000 0.053
gy_playerspawn	322.783813 1853.023804 96.518440	0.029 -0.000 -0.029
gy_playerspawn	1408.235352 2955.931885 131.193253	1.305 0.344 -0.934
gy_playerspawn	818.441772 2523.747559 96.528938	-0.069 -0.000 0.069
gy_playerspawn	1396.425781 2011.240845 5.310275	0.565 -0.000 -1.235
gy_playerspawn	684.057312 2348.117188 0.599159	-0.216 -0.029 -0.218
gy_playerspawn	581.371399 2369.577393 40.569111	0.012 -0.000 -0.012
gy_playerspawn	1416.853271 1229.082642 1.183368	0.427 -0.001 0.438
gy_playerspawn	1692.810913 471.593658 64.535072	-0.063 -0.000 0.063
gy_playerspawn	1712.846924 706.125305 64.537003	-0.061 -0.000 0.062
gy_playerspawn	1749.738647 983.029663 128.508698	0.037 -0.000 -0.037
gy_playerspawn	878.439880 1100.217529 128.527130	0.150 0.130 0.030
gy_playerspawn	1121.689209 518.284607 3.219159	-0.568 -0.145 -1.411
gy_playerspawn	715.261841 634.364197 96.482613	0.014 -0.000 -0.014
gy_playerspawn	711.975708 482.879242 2.313898	0.332 -0.020 -0.830
gy_playerspawn	177.943253 -55.135010 132.474869	-0.048 0.000 -0.048
gy_playerspawn	344.848969 102.050346 4.715201	-0.066 0.221 -2.714
gy_playerspawn	-1752.591064 -181.374084 186.837585	0.080 0.000 0.080
gy_playerspawn	-2011.338135 -805.864258 132.261139	-0.318 0.134 0.441
gy_playerspawn	-1925.875977 351.118774 2.073871	0.622 -0.046 -0.598
gy_playerspawn	-1461.426880 22.893396 96.502991	0.039 0.000 0.039
gy_playerspawn	-1432.993164 579.453003 32.537315	-0.060 -0.000 0.060
gy_playerspawn	-2129.405273 1107.820801 32.541862	-0.056 -0.000 0.056
gy_playerspawn	-2090.527344 1226.424316 32.546879	0.051 0.000 0.051
gy_playerspawn	-1466.081421 1225.636475 32.547680	-0.050 -0.000 0.050
gy_playerspawn	-1242.309082 1243.026978 104.859154	-0.054 0.000 -0.054
gy_playerspawn	-741.642273 1439.454102 -111.460831	-0.058 -0.000 0.058
gy_playerspawn	-907.136963 1356.568115 -111.459923	-0.057 -0.000 0.057
gy_playerspawn	-1605.422119 1712.158813 64.492210	0.043 -0.000 -0.043
gy_playerspawn	-1826.471924 1824.039795 128.510056	0.036 -0.000 -0.036
gy_playerspawn	-1813.599731 2386.630127 96.520218	0.034 -0.000 -0.034
gy_playerspawn	-1631.197266 2543.735596 128.510056	0.036 -0.000 -0.036
gy_playerspawn	-1379.274780 2644.784180 112.561104	-0.035 -0.175 0.129
gy_playerspawn	-2064.335693 2981.295166 32.526756	-0.072 -0.000 0.072
gy_playerspawn	-663.447754 2177.082764 -121.042068	-3.668 0.055 -1.194
gy_playerspawn	-868.394775 2445.157959 -29.151402	0.067 0.000 0.067
gy_playerspawn	-313.531616 1732.988647 -126.405411	0.429 -0.055 -0.080
gy_medkit	-303.431091 1425.043945 -31.179522	0.489 -36.213 -88.028
gy_medkit	-1709.582520 1166.866699 32.974571	0.455 -36.606 -90.209
gy_medkit	-1433.791748 -528.907104 129.745743	0.091 35.686 90.182
gy_medkit	700.518982 -56.798016 62.631416	-7.123 23.913 90.267
gy_medkit	1433.984985 213.942383 -189.778214	-0.413 -38.920 -88.615
gy_medkit	1134.571655 2456.928467 96.892830	1.007 -37.224 -89.115
gy_medkit	-1094.019775 1491.921509 -54.762543	0.420 -37.206 -89.350
