# Gun Gaym weapon/ammo placement overrides (stolen from TTT)
# For map: de_nuke
# Exported by: Shaps #adamlevine
setting:	replacespawns 0
gy_medkit	220.683853 -1641.702637 -31.957668	-0.574 -0.204 -0.794
gy_medkit	658.496887 -917.099854 -127.863625	0.388 0.002 0.485
gy_medkit	-93.718239 -929.438049 -415.624512	0.206 0.001 0.263
gy_medkit	631.664795 -2233.740479 -287.661438	0.058 0.001 0.084
gy_medkit	1056.510986 -1482.853271 -103.595673	-0.529 0.118 -0.633
gy_medkit	476.351196 240.389191 -321.299988	-0.121 0.119 -0.144
gy_medkit	1066.071045 -372.434021 -613.614807	0.265 -0.001 -0.335
gy_playerspawn	-1339.894531 -941.551392 -391.452576	0.051 0.000 0.051
gy_playerspawn	-1115.770752 -1209.568481 -263.154205	-0.072 -0.000 0.071
gy_playerspawn	210.895233 -1314.670410 -271.469269	-0.084 -0.000 0.084
gy_playerspawn	-167.620895 -1267.477417 -271.442139	-0.051 -0.000 0.051
gy_playerspawn	-201.642822 -846.338867 -171.458694	0.071 -0.000 0.071
gy_playerspawn	829.083130 -1438.524048 -342.442780	0.052 -0.000 0.051
gy_playerspawn	446.221954 -1435.373779 -342.465240	0.079 -0.000 0.079
gy_playerspawn	1227.782227 -974.185120 -767.436096	-0.035 -0.000 0.035
gy_playerspawn	163.134155 -969.861145 -767.455872	-0.054 -0.000 0.055
gy_playerspawn	576.654114 -1151.942261 -639.418884	-0.042 -0.000 0.042
gy_playerspawn	406.779938 -433.489838 -639.459351	-0.058 -0.000 0.058
gy_playerspawn	505.598083 -1059.987915 -302.619293	-0.020 0.000 -0.020
gy_playerspawn	808.807068 -449.121857 -318.954834	-0.056 -0.000 0.056
gy_playerspawn	293.036407 -472.725098 -127.445930	0.045 0.000 0.045
gy_playerspawn	1375.475708 -1547.523926 -287.462311	-0.075 -0.000 0.075
gy_playerspawn	133.601532 -1897.335449 -135.459885	0.012 -0.146 0.202
gy_playerspawn	-5.338017 -1957.692261 -286.353485	-0.015 0.000 -0.015
gy_playerspawn	1302.577271 -532.832764 -103.478790	-0.031 -0.069 0.224
gy_playerspawn	204.151001 -800.273804 -22.444752	-0.054 -0.000 0.054
