# Gun Gaym weapon/ammo placement overrides (stolen from TTT)
# For map: de_train
# Exported by: Shaps
setting:	replacespawns 0
gy_medkit	-30.826218 1666.509399 -103.651474	0.087 0.001 0.118
gy_medkit	954.097046 1760.594116 -247.569168	0.608 0.003 0.755
gy_medkit	232.181381 4.926469 -215.628723	0.184 0.001 0.236
gy_medkit	219.997086 -1274.372192 -287.940308	0.080 0.007 0.102
gy_medkit	1894.828491 -1285.964600 -283.640747	0.127 0.001 0.166
gy_medkit	-967.952454 -442.841156 16.391790	-0.645 -0.045 -0.775
gy_medkit	-748.361694 766.707703 40.451519	0.792 0.005 0.979
gy_playerspawn	-408.878113 1393.687744 -92.713135	-0.168 -0.032 0.193
gy_playerspawn	572.117737 -409.948730 -221.450287	-0.049 -0.000 0.049
gy_playerspawn	476.842316 53.519535 -215.479019	-0.077 -0.000 0.077
gy_playerspawn	38.195286 74.142342 -215.481430	-0.080 -0.000 0.080
gy_playerspawn	-196.123581 -163.975952 -72.101944	-0.041 -0.000 0.041
gy_playerspawn	114.590637 232.372589 -67.307259	-0.271 0.137 -0.063
gy_playerspawn	282.937286 711.868225 40.545555	-0.066 -0.000 0.066
gy_playerspawn	503.755066 672.150024 40.117561	0.155 0.151 1.926
gy_playerspawn	692.066284 498.318695 -68.291443	-0.071 0.055 -0.204
gy_playerspawn	274.947998 333.506836 -211.867905	-0.649 2.262 -84.320
gy_playerspawn	894.174744 -635.468445 -221.448792	-0.048 -0.000 0.048
gy_playerspawn	1054.541748 -872.177856 -261.475525	-0.074 -0.000 0.074
gy_playerspawn	1441.680420 -873.637207 -323.468994	-0.067 -0.000 0.067
gy_playerspawn	1094.309692 -1269.437622 -202.280273	-0.158 0.059 -0.038
gy_playerspawn	539.496887 -1422.308228 -351.432495	-0.031 -0.000 0.032
gy_playerspawn	1.059212 -1396.484131 -351.448059	-0.047 -0.000 0.047
gy_playerspawn	-238.093994 -1723.469849 -103.463974	-0.062 -0.000 0.062
gy_playerspawn	402.103943 -1744.231445 -103.466934	-0.065 -0.000 0.065
gy_playerspawn	8.908725 -1742.118774 -103.477821	-0.076 -0.000 0.076
gy_playerspawn	-997.921936 -1306.415039 -151.486496	-0.085 -0.000 0.085
gy_playerspawn	-1002.459961 -887.247559 -151.466949	0.065 0.000 0.065
gy_playerspawn	-641.033386 22.500914 16.536978	-0.062 -0.000 0.062
gy_playerspawn	-840.162903 183.467178 16.531355	-0.066 -0.000 0.066
gy_playerspawn	-831.733459 468.524872 16.525963	0.071 0.000 0.071
gy_playerspawn	-164.775055 1537.597534 -221.217621	-1.213 1.066 -5.862
gy_playerspawn	186.091431 1642.682983 -206.476013	0.066 0.123 -0.209
gy_playerspawn	828.160767 1763.169678 -215.474396	-0.073 -0.000 0.073
gy_playerspawn	1290.068726 1419.274292 -215.449905	0.019 0.009 -0.208
gy_playerspawn	1337.852173 865.271667 -215.483932	-0.082 -0.000 0.082
gy_playerspawn	1896.999756 343.886658 -215.486496	-0.085 -0.000 0.085
gy_playerspawn	1925.137085 -818.120728 -326.234863	-0.000 -0.003 -3.713
